,분류,제목,날짜,주소,,,,,,,,,
673,AI학부 공지사항,2023학년도 신입생 수강신청 일정 변경 안내,2023-02-02,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435639&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
674,AI학부 공지사항,2023년 졸업생 총장상 및 학부장상 수상 지원자 모집 관련 안내..,2023-02-02,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435637&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
675,AI학부 공지사항,"[RIS사업 A-5,안동대] 2023학년도 대구경북혁신대학(DGM) 혁신인재 ..",2023-02-02,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435628&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
676,AI학부 공지사항,2023-1학기 국내학점교류(대구사이버대학교) 신청 안내..,2023-01-26,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435379&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
677,AI학부 공지사항,2023학년도 1학기 수강신청 주요 일정 안내,2023-01-26,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435353&page=5&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
678,AI학부 공지사항,"2023-1학기 휴학(연기), 복학 신청 안내",2023-01-26,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435324&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
679,AI학부 공지사항,"2023-1학기 국내학점교류(동국대학교, 숙명여자대학교) 신청 안내..",2023-01-18,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435235&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
680,AI학부 공지사항,2023-1학기 국내학점교류(계명대학교) 신청 안내,2023-01-18,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435234&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
681,AI학부 공지사항,"[군제대복학, 일반복학 학생 관련] 2022 AI학부 개편에 따른 전공배..",2023-01-17,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435175&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
682,AI학부 공지사항,[공학교육혁신센터] 파이썬을 활용한 인공지능 자율주행 차량 제작 ..,2023-01-16,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435116&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
683,AI학부 공지사항,[친환경배터리사업단] VR단기강좌 교육생 모집 안내..,2023-01-16,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=435109&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
684,AI학부 공지사항,2022학년도 제2학기 학사학위취득 유예(졸업연기) 신규 및 기간변경..,2023-01-10,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=434929&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
685,AI학부 공지사항,2023-1학기 국내학점교류(한국교원대학교) 신청 안내..,2023-01-09,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=434893&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
