,class,title,date,url
52,수업학적,[DU-MOOC] 안드로이드 기기 LearningX 앱 ...,2023-08-30,https://daegu.ac.kr/article/DG159/detail/637437
53,학생모집,DUBS 48기 수습기자 모집,2023-08-30,https://daegu.ac.kr/article/DG159/detail/637426
54,학생모집,[기자모집] 2023학년도 대구대신문사 수습기자 모집,2023-08-30,https://daegu.ac.kr/article/DG159/detail/637425
55,장학,[국가근로] 2023-2학기 2차 선발 국가근로장학생 ...,2023-08-30,https://daegu.ac.kr/article/DG159/detail/637424
56,수업학적,[성적]전자출결 이용 안내,2023-08-30,https://daegu.ac.kr/article/DG159/detail/637423
57,수업학적,[성적]유고결석 신청 안내,2023-08-30,https://daegu.ac.kr/article/DG159/detail/637422
58,복지,"[시급 9,620원 지급]교내근로-장애대학생 교육지원인 ...",2023-08-30,https://daegu.ac.kr/article/DG159/detail/637414
59,예비군,2023-2학기 학생예비군훈련 1차 사전안내,2023-08-29,https://daegu.ac.kr/article/DG159/detail/637403
60,수업학적,[수업] 2023-2 수강변경(정정) 및 수강허가 신청 ...,2023-08-29,https://daegu.ac.kr/article/DG159/detail/637378
61,학생모집,[IPP] (주)우성티오티 IPP형 일학습병행 학기제 ...,2023-08-29,https://daegu.ac.kr/article/DG159/detail/637376
62,수업학적,(수어교실) 2023-2학기 한국수어통역사 양성과정 안 ...,2023-08-29,https://daegu.ac.kr/article/DG159/detail/637367
63,교육봉사,[교육봉사] 2023 대구녹색학습원 3기 교육봉사단 모 ...,2023-08-28,https://daegu.ac.kr/article/DG159/detail/637349
64,장학,[교외]2023학년도 2학기 보훈청 보훈(가족)장학 홍 ...,2023-08-28,https://daegu.ac.kr/article/DG159/detail/637343
65,수업학적,[조기졸업]2023-2학기 조기졸업 신청 안내,2023-08-25,https://daegu.ac.kr/article/DG159/detail/637318
66,수업학적,[K-MOOC] 2023년 2학기 타대학(타 대학) K ...,2023-08-25,https://daegu.ac.kr/article/DG159/detail/637317
67,장학,2023학년도 2학기 국가근로 진행 변경사항 안내,2023-08-25,https://daegu.ac.kr/article/DG159/detail/637315
